,date,hour,dayofweek,dayofyear,dayofmonth,weekofyear,temperature,dew_point,humidity,wind_speed,pressure,poi1,poi2,poi3,poi4,poi5,road_level,speed_limit,lat,lng,label
27064,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,1,4,1,1,1,-1,-1,24.476888,118.10658899999999,0
27065,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,1,4,1,1,1,-1,-1,24.476888,118.10658899999999,0
27782,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,2,5,0,0,45000,40,24.47719,118.07909099999999,0
27783,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,2,5,0,0,45000,40,24.47719,118.07909099999999,0
27784,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,2,5,0,0,45000,40,24.47719,118.07909099999999,0
27785,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,2,5,0,0,45000,40,24.47719,118.07909099999999,0
28502,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,2,1,1,7,7,44000,50,24.478657000000002,118.166491,0
28503,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,2,1,1,7,7,44000,50,24.478657000000002,118.166491,0
28504,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,2,1,1,7,7,44000,50,24.478657000000002,118.166491,0
28505,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,2,1,1,7,7,44000,50,24.478657000000002,118.166491,0
29222,2016-09-18 14:00:00,14,6,262,18,37,64,46,52,4,29.97,0,0,0,4,4,45000,40,24.4787,118.09966499999999,0
29223,2016-09-18 15:00:00,15,6,262,18,37,63,48,59,13,29.97,0,0,0,4,4,45000,40,24.4787,118.09966499999999,0
29224,2016-09-18 16:00:00,16,6,262,18,37,61,48,63,16,29.97,0,0,0,4,4,45000,40,24.4787,118.09966499999999,0
29225,2016-09-18 17:00:00,17,6,262,18,37,57,46,67,16,30.0,0,0,0,4,4,45000,40,24.4787,118.09966499999999,0
