0,1,7686.7
0,2,8122.2
2,0,7331.6
0,3,8693.1
3,0,8635.7
0,4,8159.6
4,0,7427.3
0,5,8159.6
5,0,7427.3
0,6,8262
6,0,7994.5
1,0,8103.9
7,0,7272.9
0,8,8323.7
8,0,8337.3
0,9,8992.4
9,0,8991.3
0,10,8498.2
10,0,7272.9
0,11,7686.7
11,0,8103.9
0,12,7554.6
0,7,8498.2
0,13,8485.2
13,0,7375.4
0,14,7867.4
14,0,8107.5
0,15,7683.5
12,0,7534.2
15,0,8107.1
0,16,7789.5
0,17,8166.3
0,18,8145.4
18,0,8190.7
17,0,6686.5
0,19,8016.4
0,20,8038.4
19,0,8029.9
20,0,8052
0,21,8465.1
21,0,8510.4
0,22,8454.5
22,0,8499.8
0,23,8543.3
23,0,7043.6
16,0,7063.3
0,24,8154.3
24,0,8133.9
25,0,8494.7
26,0,6682
0,26,8170.9
0,27,8179.3
0,28,7611.6
28,0,7591.2
0,29,7589.2
29,0,7568.8
0,30,7617.1
0,25,8449.4
30,0,7596.7
0,31,8418.1
31,0,7583
27,0,6673.5
0,32,8270.9
0,33,7052.7
33,0,7429.9
0,34,7242.1
34,0,7443
0,35,7277.4
35,0,7300.4
32,0,6581.9
0,36,7307
0,37,7281.1
36,0,6994.5
37,0,7304.1
0,38,7318.4
38,0,6983.1
0,39,8036.7
39,0,8086.8
0,40,6682.5
40,0,6708.4
0,42,8205.7
41,0,7995.1
42,0,8410.3
43,0,8016.6
0,41,7945
0,43,7966.5
0,45,10048.9
45,0,6883.8
44,0,7584.8
0,46,6959.3
46,0,7240.2
0,47,6833.4
47,0,7366.1
0,48,7133.8
0,49,7337.3
0,44,6845.2
49,0,6964.3
0,50,7544.7
50,0,6756.9
0,51,7332
51,0,7518.4
52,0,6708.4
0,52,6682.5
48,0,7143.3
0,54,6594.2
54,0,6573.7
53,0,6850.6
0,55,6961.4
55,0,6314.1
56,0,6533.1
0,57,5669.3
57,0,5089.8
0,53,6842.8
0,58,6365.4
0,56,6515.9
58,0,6789.2
0,59,6791.5
0,60,6060.7
60,0,6086.6
0,61,5861.4
59,0,6533
61,0,5838.5
62,0,5878.5
0,63,5922.2
0,64,6353.1
63,0,5553
64,0,5872.1
0,62,5874.5
0,65,6164.1
0,66,5938
0,67,6343.6
67,0,5862.7
65,0,5663.4
0,68,6379.2
68,0,6803
66,0,5568.8
69,0,4942.9
0,69,6312.8
0,70,5798.7
70,0,5775.7
0,71,6232.5
71,0,5751.5
0,72,6571.8
72,0,6090.8
0,73,6066.5
73,0,5697.7
0,74,5511.2
74,0,5515.1
0,75,5966.5
75,0,5465.8
0,76,5622.5
76,0,6271.4
0,77,5020.8
77,0,5013.4
0,78,5527.2
78,0,5679.8
0,79,6620
80,0,7198.4
0,80,6475.9
0,81,6117.8
81,0,5636.8
0,82,6034.5
82,0,5707.1
0,83,5971.7
79,0,6139
0,84,5713.7
84,0,5593.8
0,85,6996.6
83,0,5851.8
